drug_name,side_effects,generic_name
Salactic Film,"Along with its needed effects, a medicine may cause some unwanted effects. Although not all of these side effects may occur, if they do occur they may need medical attention. Check with ",salicylic acid (topical route)
Salex,"Salex can cause a rare but serious allergic reaction or severe skin irritation. These reactions may occur just a few minutes after you apply the medicine, or within a day or longer afterward. Stop using this medicine and get emergency medical help if you have signs of an allergic reaction : hives, itching; difficult breathing, feeling light-headed; swelling of your face, lips, tongue, or throat. Also stop using Salex and call ",salicylic acid topical
salicylic acid/sulfur,"Along with its needed effects, a medicine may cause some unwanted effects. Although not all of these side effects may occur, if they do occur they may need medical attention. Check with ",
Salvax,"Along with its needed effects, a medicine may cause some unwanted effects. Although not all of these side effects may occur, if they do occur they may need medical attention. Check with ",salicylic acid (topical route)
sarecycline,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Sarecycline may cause serious side effects. Call ",sarecycline
SAStid,"Along with its needed effects, a medicine may cause some unwanted effects. Although not all of these side effects may occur, if they do occur they may need medical attention. Check with ",salicylic acid and sulfur (topical route)
Scalpicin Scalp Relief,"Scalpicin Scalp Relief can cause a rare but serious allergic reaction or severe skin irritation. These reactions may occur just a few minutes after you apply the medicine, or within a day or longer afterward. Stop using this medicine and get emergency medical help if you have signs of an allergic reaction : hives, itching; difficult breathing, feeling light-headed; swelling of your face, lips, tongue, or throat. Also stop using Scalpicin Scalp Relief and call ",salicylic acid topical
Sebulex,"WARNING/CAUTION: Even though it may be rare, some people may have very bad and sometimes deadly side effects when taking a drug. Tell ",Sulfur and Salicylic Acid Shampoo
SoluCLENZ Rx,"SoluCLENZ Rx can cause a rare but serious allergic reaction or severe skin irritation. These reactions may occur just a few minutes after you apply the medicine, or within a day or longer afterward. Stop using this medicine and get emergency medical help if you have signs of an allergic reaction : hives, itching; difficult breathing, feeling light-headed; swelling of your face, lips, tongue, or throat. Stop using benzoyl peroxide and call ",benzoyl peroxide topical
SSS 10-4,"WARNING/CAUTION: Even though it may be rare, some people may have very bad and sometimes deadly side effects when taking a drug. Tell ",Sulfur and Sulfacetamide Foam
SSS 10-5,"WARNING/CAUTION: Even though it may be rare, some people may have very bad and sometimes deadly side effects when taking a drug. Tell ",Sulfur and Sulfacetamide Foam
Stri-Dex,"Stri-Dex can cause a rare but serious allergic reaction or severe skin irritation. These reactions may occur just a few minutes after you apply the medicine, or within a day or longer afterward. Stop using this medicine and get emergency medical help if you have signs of an allergic reaction : hives, itching; difficult breathing, feeling light-headed; swelling of your face, lips, tongue, or throat. Also stop using Stri-Dex and call ",salicylic acid topical
Stridex Body Focus,"WARNING/CAUTION: Even though it may be rare, some people may have very bad and sometimes deadly side effects when taking a drug. Tell ","Salicylic Acid Cream, Gel, Liquid, and Lotion (Acne)"
Stridex Maximum Strength,"WARNING/CAUTION: Even though it may be rare, some people may have very bad and sometimes deadly side effects when taking a drug. Tell ",Salicylic Acid Pads (Acne)
Sulfacleanse 8/4,"redness, warmth, swelling, itching, stinging, burning, or irritation of treated skin.",sulfacetamide sodium and sulfur topical
Sulfoam,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Sulfoam may cause serious side effects. Call ",sulfur topical
sulfur,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Sulfur topical may cause serious side effects. Call ",sulfur topical
Sulpho-Lac Soap,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Sulpho-Lac Soap may cause serious side effects. Call ",sulfur topical
Sumadan,"redness, warmth, swelling, itching, stinging, burning, or irritation of treated skin.",sulfacetamide sodium and sulfur topical
Sumaxin,"redness, warmth, swelling, itching, stinging, burning, or irritation of treated skin.",sulfacetamide sodium and sulfur topical
Suphera,"redness, warmth, swelling, itching, stinging, burning, or irritation of treated skin.",sulfacetamide sodium and sulfur topical
Syeda,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Birth control pills may cause serious side effects. Stop using birth control pills and call ",drospirenone and ethinyl estradiol
Tinamed Plantar,"WARNING/CAUTION: Even though it may be rare, some people may have very bad and sometimes deadly side effects when taking a drug. Tell ",Salicylic Acid Pads and Plaster (Corns)
Tri-Estarylla,"WARNING/CAUTION: Even though it may be rare, some people may have very bad and sometimes deadly side effects when taking a drug. Tell ",Ethinyl Estradiol and Norgestimate
Tri-Linyah,"WARNING/CAUTION: Even though it may be rare, some people may have very bad and sometimes deadly side effects when taking a drug. Tell ",Ethinyl Estradiol and Norgestimate
Tri-Lo-Marzia,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Birth control pills may cause serious side effects. Stop using birth control pills and call ",ethinyl estradiol and norgestimate
trifarotene,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Trifarotene topical may cause serious side effects. Stop using trifarotene topical and call ",trifarotene topical
Twyneo,"Twyneo may cause serious side effects including: Allergic reactions. Stop treatment and get medical help right away if you have any of the following symptoms: hives, rash or severe itching swelling of your face, eyes, lips, tongue, or throat trouble breathing or throat tightness feeling faint, dizzy, or lightheaded Skin irritation. Twyneo may cause skin irritation such as redness, scaling, peeling, dryness, pain, stinging or burning. If you develop these symptoms, your healthcare provider may tell you to use a moisturizer, decrease the number of times you apply Twyneo, or completely stop treatment. The most common side effects include pain, dryness, peeling, redness, swelling, itching, and irritation at the application site. These are not all the possible side effects. Call ",benzoyl peroxide and tretinoin
Vanoxide-HC,"Stop using this medicine and get emergency medical help if you have signs of a serious allergic reaction or severe skin irritation : hives, itching; difficult breathing, feeling light-headed; swelling of your face, lips, tongue, or throat. These reactions may occur just a few minutes after you apply the medicine, or within a day or longer afterward. This medicine may cause serious side effects. Stop using this medicine and call ",benzoyl peroxide and hydrocortisone topical
Winlevi,"Winlevi cream can cause serious side effects, including: Local skin reactions. Winlevi cream may cause local skin irritation including itching, burning, skin redness or peeling. Symptoms of a disorder where the adrenal gland does not make enough of certain hormones (adrenal insufficiency) during treatment with Winlevi. Your healthcare provider may stop your treatment with Winlevi if you develop any adrenal problems. The most common side effects of Winlevi cream include reddening, scaling or dryness, and itching of the skin being treated. These are not all of the possible side effects. Call your healthcare provider for medical advice about side effects. You may report side effects to FDA at 1-800-FDA1088. Winlevi side effects",clascoterone
Z-Clinz 10,"Benzoyl peroxide can cause a rare but serious allergic reaction or severe skin irritation. These reactions may occur just a few minutes after you apply the medicine, or within a day or longer afterward. Stop using Z-Clinz 10 and get emergency medical help if you have signs of an allergic reaction : hives, itching; difficult breathing, feeling light-headed; swelling of your face, lips, tongue, or throat. This medicine may cause serious side effects. Stop using this medicine and call ",benzoyl peroxide and clindamycin topical
Zarah,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Birth control pills may cause serious side effects. Stop using birth control pills and call ",drospirenone and ethinyl estradiol
Zumandimine,"WARNING/CAUTION: Even though it may be rare, some people may have very bad and sometimes deadly side effects when taking a drug. Tell ",Ethinyl Estradiol and Drospirenone
Vyvanse,"hives; difficult breathing; swelling of your face, lips, tongue, or throat. Call ",lisdexamfetamine
Adderall,"hives; difficult breathing; swelling of your face, lips, tongue, or throat. Adderall may cause serious side effects. Call ",amphetamine and dextroamphetamine
Adderall XR,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Adderall XR may cause serious side effects. Call ",amphetamine and dextroamphetamine
Concerta,"hives ; difficulty breathing; swelling of your face, lips, tongue, or throat. Call ",methylphenidate (oral)
lisdexamfetamine,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Lisdexamfetamine may cause serious side effects. Call ",lisdexamfetamine
Daytrana,"Along with its needed effects, a medicine may cause some unwanted effects. Although not all of these side effects may occur, if they do occur they may need medical attention. Check with ",methylphenidate (transdermal route)
Quillivant XR,"hives ; difficulty breathing; swelling of your face, lips, tongue, or throat. Call ",methylphenidate (oral)
amantadine,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Call ",amantadine
Cotempla XR-ODT,"Cotempla XR-ODT can cause serious side effects, including: See ""Important information"" above. Painful and prolonged erections (priapism). Priapism has happened in males who take products that contain methylphenidate. If your child develops priapism, get medical help right away. Circulation problems in fingers and toes (peripheral vasculopathy, including Raynaud's phenomenon). Signs and symptoms may include: fingers or toes may feel numb, cool, or painful fingers or toes may change color from pale, to blue, to red Tell your healthcare provider if& your child has numbness, pain, skin color change, or sensitivity to temperature in the fingers or toes. Call your healthcare provider right away if your child has any signs of unexplained wounds appearing on fingers or toes during treatment with this medication. Slowing of growth (height and weight) in children. Children should have their height and weight checked often during treatment. Treatment may be stopped if your child is not gaining we",methylphenidate
Jornay PM,"Jornay PM can cause serious side effects, including: See ""Important information"" above. Painful and prolonged erections (priapism). Priapism has happened in males who take products that contain methylphenidate. If you or your child develops priapism, get medical help right away. Circulation problems in fingers and toes (peripheral vasculopathy, including Raynaud's phenomenon). Signs and symptoms may include: fingers or toes may feel numb, cool, or painful fingers or toes may change color from pale, to blue, to red Tell your healthcare provider if you or your child has numbness, pain, skin color change, or sensitivity to temperature in the fingers or toes. Call your healthcare provider right away if you or your child has any signs of unexplained wounds appearing on fingers or toes during treatment with this medication. Slowing of growth (height and weight) in children. Children should have their height and weight checked often during treatment. Treatment may be stopped if your child is ",methylphenidate hydrochloride
methylphenidate,"hives ; difficulty breathing; swelling of your face, lips, tongue, or throat. Call ",methylphenidate (oral)
QuilliChew ER,"QuilliChew ER can cause serious side effects, including: See ""Important information"" above. Painful and prolonged erections (priapism). Priapism has happened in males who take products that contain methylphenidate. If you or your child develops priapism, get medical help right away. Priapism can cause long lasting damage, it should be checked by a health care provider right away. Slowing of growth (height and weight) in children. Children should have their height and weight checked often during treatment. Treatment may be stopped if your child is not gaining weight or height. The most common side effects of QuilliChew ER include: decreased appetite trouble sleeping nausea vomiting indigestion stomach pain weight loss anxiety dizziness irritability mood swings fast heart beat increased blood pressure These are not all the possible side effects of this medication. Call ",methylphenidate hydrochloride
Azstarys,"Azstarys may cause serious side effects, including: See Important information Painful and prolonged erections (priapism). Priapism has happened in males who take products that contain methylphenidate. If you or your child develop priapism, get medical help right away. Circulation problems in fingers and toes (peripheral vasculopathy, including Raynaud’s phenomenon). Signs and symptoms may include: fingers or toes may feel numb, cool, or painful fingers or toes may change color from pale, to blue, to red Tell your healthcare provider if you or your child have numbness, pain, skin color change, or sensitivity to temperature in the fingers or toes. Call your healthcare provider right away if you or your child have any signs of unexplained wounds appearing on fingers or toes during treatment. Slowing of growth (height and weight) in children. Children should have their height and weight checked often during treatment. Azstarys treatment may be stopped if your child is not growing or gainin",dexmethylphenidate and serdexmethylphenidate
Qelbree,"Qelbree can cause serious side effects, including: See Important information Increased blood pressure and heart rate. Your healthcare provider should check you or your child’s blood pressure and heart rate before starting and during treatment. Manic episodes. Manic episodes may happen in people with bipolar disorder who take Qelbree. Symptoms may include: greatly increased energy racing thoughts unusually grand ideas talking more or faster than usual severe trouble sleeping reckless behavior excessive happiness or irritability Sleepiness and tiredness. See What should I avoid while taking Qelbree? The most common side effects in children 6 to 17 years of age include: sleepiness tiredness vomiting irritability decreased appetite nausea trouble sleeping The most common side effects in adults include: insomnia sleepiness nausea dry mouth headache tiredness decreased appetite constipation Effects on weight. Your healthcare provider should check you or your child’s weight before starting, a",viloxazine
Strattera,"hives; difficult breathing; swelling of your face, lips, tongue, or throat. Report any new or worsening symptoms to ",atomoxetine
Dexedrine,"hives ; difficulty breathing; swelling of your face, lips, tongue, or throat. Dexedrine Spansule may cause serious side effects. Call ",dextroamphetamine
amphetamine / dextroamphetamine,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Amphetamine and dextroamphetamine may cause serious side effects. Call ",amphetamine and dextroamphetamine
Ritalin,"hives ; difficulty breathing; swelling of your face, lips, tongue, or throat. Call ",methylphenidate (oral)
dextroamphetamine,"hives ; difficulty breathing; swelling of your face, lips, tongue, or throat. Dextroamphetamine may cause serious side effects. Call ",dextroamphetamine
bupropion,"(hives, itching, fever, swollen glands, difficult breathing, swelling in your face or throat) or a severe skin reaction (fever, sore throat, burning eyes, skin pain, red or purple skin rash with blistering and peeling). Report any new or worsening symptoms to ",bupropion
clonidine,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Call ",clonidine (oral)
Intuniv,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Call ",guanfacine
Desoxyn,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Desoxyn may cause serious side effects. Call ",methamphetamine
guanfacine,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Guanfacine may cause serious side effects. Call ",guanfacine
Focalin,"fever; hives ; difficulty breathing; swelling of your face, lips, tongue, or throat. Call ",dexmethylphenidate
atomoxetine,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Report any new or worsening symptoms to ",atomoxetine
Focalin XR,"fever; hives ; difficulty breathing; swelling of your face, lips, tongue, or throat. Focalin XR may cause serious side effects. Call ",dexmethylphenidate
amphetamine,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Call ",amphetamine
Ritalin LA,"Along with its needed effects, a medicine may cause some unwanted effects. Although not all of these side effects may occur, if they do occur they may need medical attention. Check with ",methylphenidate (oral route)
Kapvay,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Call ",clonidine (oral)
Methylin,"Along with its needed effects, a medicine may cause some unwanted effects. Although not all of these side effects may occur, if they do occur they may need medical attention. Check with ",methylphenidate (oral route)
dexmethylphenidate,"fever; hives ; difficulty breathing; swelling of your face, lips, tongue, or throat. Dexmethylphenidate may cause serious side effects. Call ",dexmethylphenidate
methamphetamine,"hives; difficult breathing; swelling of your face, lips, tongue, or throat. Call ",methamphetamine
modafinil,"hives; difficulty breathing; swelling of your face, lips, tongue, or throat. Modafinil can cause skin reactions that may be severe enough to need treatment in a hospital. Stop taking this medicine and get emergency medical help if you have: skin rash or hives, blisters or peeling; mouth sores, trouble swallowing; fever, shortness of breath; swelling in your legs; dark urine, jaundice (yellowing of the skin or eyes); or swelling in your face, eyes, lips, tongue, or throat. Modafinil may cause serious side effects. Stop using modafinil and call ",modafinil
Methylin ER,"Along with its needed effects, a medicine may cause some unwanted effects. Although not all of these side effects may occur, if they do occur they may need medical attention. Check with ",methylphenidate (oral route)
omega-3 polyunsaturated fatty acids,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Omega-3 polyunsaturated fatty acids may cause serious side effects. Call ",omega-3 polyunsaturated fatty acids
ProCentra,"hives ; difficulty breathing; swelling of your face, lips, tongue, or throat. ProCentra may cause serious side effects. Call ",dextroamphetamine
selegiline,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Selegiline may cause serious side effects. Call ",selegiline (oral)
Zenzedi,"hives ; difficulty breathing; swelling of your face, lips, tongue, or throat. Zenzedi may cause serious side effects. Call ",dextroamphetamine
Aptensio XR,"Along with its needed effects, a medicine may cause some unwanted effects. Although not all of these side effects may occur, if they do occur they may need medical attention. Check with ",methylphenidate (oral route)
armodafinil,"skin rash, fever, swollen glands, flu-like symptoms, unusual bruising, or jaundice (yellowing of your skin or eyes). Armodafinil may cause serious side effects. Stop using armodafinil and call ",armodafinil
desvenlafaxine,"skin rash or hives ; difficulty breathing; swelling of your face, lips, tongue, or throat. Tell ",desvenlafaxine
Evekeo,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Evekeo may cause serious side effects. Call ",amphetamine
Mydayis,"Mydayis can cause serious side effects, including: See Important information Slowing of growth (height and weight) in children. Children should have their height and weight checked often during treatment. Your healthcare provider may stop your child’s treatment if they are not growing or gaining weight as expected. Circulation problems in fingers and toes (peripheral vasculopathy, including Raynaud’s phenomenon). Signs and symptoms may include: fingers or toes may feel numb, cool, painful fingers or toes may change color from pale, to blue, to red Tell your healthcare provider if you have or your child has any numbness, pain, skin color change, or sensitivity to temperature in your fingers or toes. Call your healthcare provider if you or your child have any signs of unexplained wounds appearing on fingers or toes during treatment. Seizures. Your healthcare provider will stop treatment if you have a seizure. Serotonin syndrome. This problem may happen when Mydayis is taken with certain ",amphetamine and dextroamphetamine mixed salts
Adzenys ER,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Adzenys ER may cause serious side effects. Call ",amphetamine
Adzenys XR-ODT,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Adzenys XR-ODT may cause serious side effects. Call ",amphetamine
desipramine,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Report any new or worsening symptoms to ",desipramine
Dyanavel XR,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Call ",amphetamine
Evekeo ODT,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Evekeo ODT may cause serious side effects. Call ",amphetamine
imipramine,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Report any new or worsening symptoms to ",imipramine
dexmethylphenidate / serdexmethylphenidate,"fever; hives ; difficulty breathing; swelling of your face, lips, tongue, or throat. Dexmethylphenidate and serdexmethylphenidate may cause serious side effects. Call ",dexmethylphenidate and serdexmethylphenidate
viloxazine,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Report any new or worsening symptoms to ",viloxazine
Truvada,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Mild symptoms of lactic acidosis may worsen over time , and this condition can be fatal. Get emergency medical help if you have: unusual muscle pain, trouble breathing, stomach pain, vomiting , irregular heart rate, dizziness, feeling cold, or feeling very weak or tired. Call ",emtricitabine and tenofovir disoproxil fumarate
Biktarvy,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Call ","bictegravir, emtricitabine, and tenofovir"
Triumeq,Call ,"abacavir, dolutegravir, and lamivudine"
Genvoya,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Call ","cobicistat, elvitegravir, emtricitabine, and tenofovir"
Stribild,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Call ","cobicistat, elvitegravir, emtricitabine, and tenofovir"
Atripla,"unusual muscle pain, trouble breathing, stomach pain, vomiting , irregular heart rate, dizziness, feeling cold, or feeling very weak or tired. Call ","efavirenz, emtricitabine, and tenofovir"
Descovy,"WARNING/CAUTION: Even though it may be rare, some people may have very bad and sometimes deadly side effects when taking a drug. Tell ",emtricitabine and tenofovir alafenamide
Norvir,"irregular heartbeats, or a light-headed feeling (like you might pass out); easy bruising, unusual bleeding (nose, mouth, vagina, or rectum), purple or red pinpoint spots under your skin; signs of a kidney stone - pain in your side or lower back, blood in your urine, painful or difficult urination; high blood sugar - increased thirst, increased urination, hunger, dry mouth, fruity breath odor; or signs of liver or pancreas problems - loss of appetite, upper stomach pain (that may spread to your back), nausea , vomiting , dark urine, jaundice (yellowing of the skin or eyes). Norvir affects your immune system, which may cause certain side effects (even weeks or months after you've taken this medicine). Tell ",ritonavir
Isentress,"Stop taking this medicine and get emergency medical help if you have signs of an allergic reaction to Isentress: fever, general ill feeling, tiredness, joint or muscle pain, trouble breathing; upper stomach pain, vomiting, loss of appetite, dark urine, yellowing of the skin or eyes; burning eyes, blisters or mouth sores; rash, hives , blistering or peeling skin; swelling of your face, lips, tongue, or throat. In rare cases, Isentress can cause a condition that results in the breakdown of skeletal muscle tissue, leading to kidney failure . Call ",raltegravir
Dovato,"Stop taking this medicine and get emergency medical help if you have signs of an allergic reaction to Dovato: fever, general ill feeling, trouble breathing, tiredness; joint or muscle pain, blisters or mouth sores, redness or swelling in your eyes; blistering or peeling skin; swelling of your face, lips, tongue, or throat. Mild symptoms of lactic acidosis may worsen over time , and this condition can be fatal. unusual muscle pain, trouble breathing, stomach pain, vomiting, fast or irregular heart rate, dizziness, feeling cold, or feeling very weak or tired. Call ",dolutegravir and lamivudine
Tivicay,"Stop taking this medicine and get emergency medical help if you have signs of an allergic reaction to Tivicay: fever, general ill feeling, trouble breathing, tiredness; joint or muscle pain, blisters or mouth sores, redness or swelling in your eyes; blistering or peeling skin ; swelling of your face, lips, tongue, or throat. Call ",dolutegravir
abacavir / dolutegravir / lamivudine,Call ,"abacavir, dolutegravir, and lamivudine"
Prezista,"a skin rash, no matter how mild; high blood sugar - increased thirst, increased urination, dry mouth, fruity breath odor; or signs of liver or pancreas problems - loss of appetite, upper stomach pain (that may spread to your back), nausea or vomiting , fast heart rate , dark urine, jaundice (yellowing of the skin or eyes). Darunavir affects your immune system, which may cause certain side effects (even weeks or months after you've taken this medicine). Tell ",darunavir
bictegravir / emtricitabine / tenofovir alafenamide,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Bictegravir, emtricitabine, and tenofovir may cause serious side effects. Call ","bictegravir, emtricitabine, and tenofovir"
cobicistat / elvitegravir / emtricitabine / tenofovir,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Cobicistat, elvitegravir, emtricitabine, and tenofovir may cause serious side effects. Call ","cobicistat, elvitegravir, emtricitabine, and tenofovir"
Cabenuva,"hives ; fever, tiredness, body aches, not feeling well; sores or blisters in your mouth; red or puffy eyes; difficult breathing; swelling of your face, lips, tongue, or throat. Seek medical treatment if you have a serious drug reaction that can affect many parts of your body. Symptoms may include: skin rash, fever, swollen glands, muscle aches, severe weakness, unusual bruising, or yellowing of your skin or eyes. Your Cabenuva injections may be permanently discontinued if you have an allergic reaction. Some side effects may occur within a few minutes after an injection. Tell your caregiver if you feel anxious, warm, light-headed, sweaty, or have stomach pain, or numbness in your mouth. Call ",cabotegravir and rilpivirine
dolutegravir / lamivudine,"Stop taking this medicine and get emergency medical help if you have signs of an allergic reaction: fever, general ill feeling, trouble breathing, tiredness; joint or muscle pain, blisters or mouth sores, redness or swelling in your eyes; blistering or peeling skin ; swelling of your face, lips, tongue, or throat. Mild symptoms of lactic acidosis may worsen over time , and this condition can be fatal. unusual muscle pain, trouble breathing, stomach pain, vomiting , fast or irregular heart rate, dizziness , feeling cold, or feeling very weak or tired. Dolutegravir and lamivudine may cause serious side effects. Call ",dolutegravir and lamivudine
emtricitabine / tenofovir alafenamide,"Along with its needed effects, a medicine may cause some unwanted effects. Although not all of these side effects may occur, if they do occur they may need medical attention. Check with ",
Complera,"hives, blistering skin rash with fever; mouth sores, eye redness; difficulty breathing; swelling of your face, lips, tongue, or throat. Some people develop lactic acidosis while taking HIV medication. Early symptoms may get worse over time and this condition can be fatal. Get emergency medical help if you have even mild symptoms such as: muscle pain or weakness, numb or cold feeling in your arms and legs, trouble breathing, stomach pain, nausea with vomiting, fast or uneven heart rate, dizziness, or feeling very weak or tired. Call ","emtricitabine, rilpivirine, and tenofovir"
Reyataz,"sudden dizziness (like you might pass out); severe pain in your lower stomach or back; painful urination, blood in your urine; high blood sugar -increased thirst, increased urination, dry mouth, fruity breath odor, headache , blurred vision; or liver or gallbladder problems - nausea , vomiting , upper stomach pain, itching, fever, dark urine, clay-colored stools, jaundice (yellowing of the skin or eyes). Atazanavir affects your immune system, which may cause certain side effects (even weeks or months after you've taken this medicine). Tell ",atazanavir
Epzicom,Call ,abacavir and lamivudine
ritonavir,"irregular heartbeats, or a light-headed feeling (like you might pass out); easy bruising, unusual bleeding (nose, mouth, vagina, or rectum), purple or red pinpoint spots under your skin; signs of a kidney stone--pain in your side or lower back, blood in your urine, painful or difficult urination; high blood sugar--increased thirst, increased urination, hunger, dry mouth, fruity breath odor; or signs of liver or pancreas problems--loss of appetite, upper stomach pain (that may spread to your back), nausea , vomiting , dark urine, jaundice (yellowing of the skin or eyes). Ritonavir affects your immune system, which may cause certain side effects (even weeks or months after you've taken this medicine). Tell ",ritonavir
lamivudine,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Mild symptoms of lactic acidosis may worsen over time , and this condition can be fatal. Get emergency medical help if you have: unusual muscle pain, trouble breathing, stomach pain, vomiting , irregular heart rate, dizziness , feeling cold, or feeling very weak or tired. Lamivudine may cause serious side effects. Call ",lamivudine
tenofovir,"hives ; difficulty breathing; swelling of your face, lips, tongue, or throat. Mild symptoms of lactic acidosis may worsen over time , and this condition can be fatal. Get emergency medical help if you have: unusual muscle pain, trouble breathing, stomach pain, vomiting , fast/slow or irregular heartbeats, dizziness , feeling cold, or feeling very weak or tired. Tenofovir may cause serious side effects. Call ",tenofovir
Viread,"hives ; difficulty breathing; swelling of your face, lips, tongue, or throat. Mild symptoms of lactic acidosis may worsen over time , and this condition can be fatal. Get emergency medical help if you have: unusual muscle pain, trouble breathing, stomach pain, vomiting , fast/slow or irregular heartbeats, dizziness , feeling cold, or feeling very weak or tired. Call ",tenofovir disoproxil
dolutegravir,"Stop taking this medicine and get emergency medical help if you have signs of an allergic reaction: fever, general ill feeling, trouble breathing, tiredness; joint or muscle pain, blisters or mouth sores, redness or swelling in your eyes; blistering or peeling skin ; swelling of your face, lips, tongue, or throat. Dolutegravir may cause serious side effects. Call ",dolutegravir
Kaletra,"(hives, difficult breathing, swelling in your face or throat) or a severe skin reaction (fever, sore throat, burning eyes, skin pain, red or purple skin rash with blistering and peeling). Call ",lopinavir and ritonavir
Epivir,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Mild symptoms of lactic acidosis may worsen over time , and this condition can be fatal. Get emergency medical help if you have: unusual muscle pain, trouble breathing, stomach pain, vomiting , irregular heart rate, dizziness, feeling cold, or feeling very weak or tired. Call ",lamivudine
Intelence,"hives; difficult breathing; swelling of your face, lips, tongue, or throat. In rare cases, Intelence can cause a condition that results in the breakdown of skeletal muscle tissue, leading to kidney failure. Call ",etravirine
Sustiva,"( hives , difficult breathing, swelling in your face or throat) or a severe skin reaction (fever, sore throat , burning eyes, skin pain, red or purple skin rash with blistering and peeling). Call ",efavirenz
abacavir,Stop using abacavir and call ,abacavir
efavirenz / emtricitabine / tenofovir,"unusual muscle pain, trouble breathing, stomach pain, vomiting , irregular heart rate, dizziness, feeling cold, or feeling very weak or tired. Efavirenz, emtricitabine, and tenofovir may cause serious side effects. Call ","efavirenz, emtricitabine, and tenofovir"
emtricitabine / tenofovir,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Mild symptoms of lactic acidosis may worsen over time , and this condition can be fatal. Get emergency medical help if you have: unusual muscle pain, trouble breathing, stomach pain, vomiting , irregular heart rate, dizziness, feeling cold, or feeling very weak or tired. Emtricitabine and tenofovir may cause serious side effects. Call ",emtricitabine and tenofovir
darunavir,"a skin rash, no matter how mild; high blood sugar--increased thirst, increased urination, dry mouth, fruity breath odor; or signs of liver or pancreas problems--loss of appetite, upper stomach pain (that may spread to your back), nausea or vomiting , fast heart rate , dark urine, jaundice (yellowing of the skin or eyes). Darunavir affects your immune system, which may cause certain side effects (even weeks or months after you've taken this medicine). Tell ",darunavir
efavirenz,"a seizure; hallucinations, trouble concentrating, trouble speaking or moving (these symptoms may occur months or years after you start taking efavirenz); nervous system problems-- dizziness , drowsiness, confusion, trouble concentrating, strange dreams, insomnia , or problems with speech, balance, or muscle movement; serious psychiatric symptoms-- anxiety , paranoia, unusual behavior, feeling sad or hopeless, hallucinations, suicidal thoughts; or liver problems-- nausea , stomach pain, loss of appetite, dark urine, clay-colored stools, jaundice (yellowing of the skin or eyes); Psychiatric symptoms or nervous system problems may happen even months or years after you have been taking efavirenz. Efavirenz affects your immune system, which may cause certain side effects (even weeks or months after you've taken this medicine). Tell ",efavirenz
Odefsey,"hives, blistering skin rash with fever; mouth sores, eye redness; difficulty breathing; swelling of your face, lips, tongue, or throat. Some people develop lactic acidosis while taking HIV medication. Early symptoms may get worse over time and this condition can be fatal. Get emergency medical help if you have even mild symptoms such as: muscle pain or weakness, numb or cold feeling in your arms and legs, trouble breathing, stomach pain, nausea with vomiting, fast or uneven heart rate, dizziness, or feeling very weak or tired. Call ","emtricitabine, rilpivirine, and tenofovir"
